#{"t_start": 1677953427.991905, "env_id": null}
r,l,t
777.91,36,25.946187
268.8,24,25.958148
895.91,52,25.98408
333.35,23,25.996047
690.7,36,26.013999
132.33,26,26.026966
1460.62,68,26.060843
1270.7,80,26.100736
87.87,23,26.111705
269.02,25,26.123673
5459.79,99,26.173573
1502.12,43,26.194516
-61.67,80,26.234379
336.96,30,26.259343
224.3,30,26.275268
401.46,29,26.289263
2641.81,61,26.320148
2967.2,63,26.352064
214.34,31,26.367024
130.33,24,26.378992
156.87,24,26.391957
231.5,23,26.402928
8.83,27,26.416889
421.37,30,26.430851
-125.41,32,26.446811
208.51,26,26.459775
260.48,30,26.474736
274.81,26,26.4877
263.01,70,26.522608
212.72,26,27.858033
315.2,25,27.873991
-63.84,28,27.891944
-106.45,24,27.907901
111.72,24,27.926849
756.96,32,27.944802
1478.41,92,27.998657
435.1,27,28.021596
-1.87,42,28.048525
-15.52,26,28.061489
2193.76,95,28.107403
931.11,104,28.169203
25.49,25,28.18117
53.11,25,28.194136
-60.72,26,28.206104
2660.34,78,28.245
40.65,28,28.25996
-56.59,31,28.274919
-125.59,54,28.301848
23.69,29,28.315809
3698.59,190,28.409558
2829.32,126,28.472391
283.44,56,28.500317
264.89,26,28.512283
1102.62,49,28.53725
3322.77,104,28.589103
3720.1,185,28.687847
1514.19,47,28.711751
624.92,25,28.723749
1676.41,44,28.745659
3167.36,72,28.781564
186.28,35,28.798519
240.04,35,28.816469
152.22,30,28.831429
1108.49,75,28.868363
107.53,48,28.8923
1855.65,98,30.16586
297.38,29,30.18082
4051.57,117,30.247642
5987.53,236,30.394248
65.71,26,30.407214
-94.38,78,30.446143
106.51,25,30.459076
-3.83,23,30.471044
413.86,25,30.483043
2152.93,69,30.516922
447.71,114,30.574798
375.23,35,30.591753
60.71,23,30.603724
52.71,25,30.616655
2369.84,138,30.684504
53.44,27,30.698467
463.62,25,30.710435
272.49,25,30.722372
2767.85,119,30.781215
4272.42,142,30.852026
436.7,41,30.87297
3609.55,76,30.918845
10645.85,203,31.018593
129.05,25,31.031544
2897.61,141,31.101366
383.25,71,31.136265
4082.93,110,31.190152
96.41,26,31.203117
10725.55,243,32.524549
1099.04,61,32.555466
199.52,29,32.569429
2649.34,119,32.645226
1533.69,57,32.674151
260.1,32,32.690108
2531.31,71,32.725014
-755.53,117,32.783857
2869.43,91,32.828737
262.82,25,32.840705
-129.07,79,32.880598
1073.14,36,32.897552
-4.93,141,32.967397
8093.61,222,33.076074
25.02,27,33.091066
27.18,51,33.131961
-112.44,26,33.144922
2181.23,53,33.17182
296.92,27,33.185808
4367.01,112,33.24266
133.58,31,33.25759
5186.41,134,33.324411
243.07,26,33.337376
9789.8,281,34.705716
144.57,25,34.726658
9594.2,222,34.858306
7565.14,194,34.979009
4415.13,178,35.064789
12.72,26,35.076756
298.85,26,35.089719
210.03,26,35.102685
126.54,26,35.114653
115.22,25,35.126621
187.06,28,35.140586
345.16,31,35.155543
35.54,24,35.166482
3174.32,96,35.213389
4811.4,86,35.254247
64.76,23,35.265251
512.96,31,35.28021
235.15,59,35.310098
34.87,228,35.436791
1889.36,139,35.505574
375.45,40,35.525523
338.26,23,35.537489
8919.66,165,35.618274
3003.0,131,35.684129
-15.75,25,35.696098
-234.53,116,35.753942
185.15,23,35.764915
5706.02,165,36.963674
1387.71,40,36.989604
116.96,33,37.018527
215.6,29,37.054431
168.7,29,37.07338
305.04,29,37.08834
179.73,32,37.104298
243.36,26,37.117263
45.65,25,37.130229
6410.55,127,37.19306
433.41,40,37.213008
2358.94,114,37.268857
-225.3,72,37.304763
1219.64,43,37.326705
629.22,33,37.343657
-64.0,27,37.356622
825.64,28,37.370587
323.88,32,37.386545
863.02,47,37.411477
8819.89,291,37.565097
960.25,123,37.643883
3809.57,211,37.796446
845.36,27,37.810409
300.85,30,37.82537
343.58,26,37.839332
4830.36,182,37.940063
109.51,29,37.965992
1352.75,74,38.022874
66.59,32,38.042787
-30.2,23,38.054757
109.19,26,38.06875
1911.39,47,39.367244
-142.72,55,39.40614
445.0,205,39.544768
1675.59,103,39.615581
152.75,28,39.629542
601.3,38,39.648493
-2176.44,284,39.78516
139.83,26,39.798124
1905.56,58,39.826049
-281.77,69,39.867937
801.11,102,39.929772
14946.45,234,40.05344
4859.84,124,40.115244
-122.68,27,40.128209
182.15,28,40.142203
1599.2,47,40.166108
145.11,31,40.181099
3190.47,70,40.215976
4008.74,80,40.254869
2431.44,76,40.292801
1308.2,92,40.337667
6852.42,179,40.42744
328.12,28,40.441403
-405.68,110,41.854626
17863.77,276,42.00223
13256.5,237,42.119947
265.31,181,42.209707
354.07,29,42.223668
242.66,24,42.235606
55.11,25,42.248607
452.88,52,42.27454
94.12,28,42.290494
13698.34,409,42.513862
483.14,29,42.528821
330.71,30,42.543813
3459.78,74,42.579717
511.93,545,42.85096
8628.45,355,44.273188
88.51,23,44.285123
-122.68,54,44.312087
9758.2,182,44.399848
3874.2,160,44.476645
11144.5,215,44.582327
9747.96,427,44.812743
-42.81,26,44.826706
138.94,26,44.838675
3076.28,522,45.090001
163.68,25,45.101938
10431.98,395,46.59799
68.9,29,46.612952
2577.64,136,46.678774
1275.21,42,46.699687
121.34,23,46.710688
-246.04,536,46.985945
27010.79,445,47.205364
10786.81,195,47.299116
-25.84,27,47.312079
6774.6,169,47.393829
168.57,28,47.407825
48.52,26,47.419798
56.96,27,47.432758
752.06,37,47.450708
-37.85,27,48.77613
368.92,27,48.797074
302.72,27,48.816024
249.23,25,48.827992
-158.95,27,48.848936
10552.39,174,48.969646
3599.34,155,49.045442
293.86,30,49.060372
14326.5,262,49.187063
-50.24,25,49.200029
306.32,25,49.211992
16039.71,245,49.346605
14055.7,545,49.61788
13121.02,211,49.721601
141.49,24,49.73357
-40.12,29,49.748529
2551.99,62,49.779446
1735.97,214,51.16474
632.55,28,51.189674
5155.47,232,51.345258
52.08,25,51.357225
134.18,28,51.371222
1095.13,60,51.400144
168.37,27,51.413108
206.86,26,51.426074
-54.98,24,51.437046
-28.98,25,51.45001
228.54,25,51.461977
18780.84,715,51.820986
9222.42,202,51.920718
1015.63,92,51.967617
11695.58,187,52.060345
284.31,25,52.073339
